idlignemploi;id_lieu;agriculteurs_2015;artisans_2015;cadres_2015;professions_intermediaires_2015;employes_2015;ouvriers_2015;agriculteurs_2016;artisans_2016;cadres_2016;professions_intermediaires_2016;employes_2016;ouvriers_2016;agriculteurs_2017;artisans_2017;cadres_2017;professions_intermediaires_2017;employes_2017;ouvriers_2017
1;493;5;30;170;190;115;40;5.05054611159631;29.5846926015249;168.353190922909;178.049738581032;98.3515473504983;29.8987770491284;5;29;166;186;112;39
2;41;4;16;36;108;148;84;19.7532562393479;24.6915702991848;49.3831405983697;98.7662811967394;98.7662811967394;54.3214546582067;20;35;50;114;109;60
3;494;5;21;21;57;67;47;5;20;20;55;65;30;5;19;20;54;65;45
4;259;5;25;45;45;15;20;5;25;45;45;10;20;5;25;45;45;15;20
5;280;0;150;369;554;414;264;0;155;345;530;395;235;0;151;372;559;418;267
6;434;0;41;104;150;155;72;0;40.7034053844459;101.758513461115;132.286067499449;142.461918845561;66.1430337497246;0;40;100;145;150;70
7;260;0;15;30;70;60;10;0;19.9535941941876;29.9333775594434;64.1763954521903;59.0414086686329;9.33695050970752;0;5;42;79;42;37
8;296;0;5;59;143;118;119;0;4.910965168943;59.2804954567325;119.350693965652;98.4127184458559;99.716165419089;0;20;96;172;117;71
9;526;0;0;5;20;15;10;0;0;5;20;15;5;0;0;5;20;15;10
10;471;8;47;49;132;98;141;14.885993485342;24.8099891422367;59.5439739413681;153.821932681868;138.935939196526;104.201954397394;15;25;70;174;139;105
11;395;5;25;30;60;80;75;5.04816637400953;19.8803977620627;30.0941014444813;50.1690959975666;59.7986879493834;70.2459167794679;5;25;30;60;79;75
12;382;4;16;16;44;24;56;0;10.1683501683502;25.4208754208754;25.4208754208754;30.5050505050505;10.1683501683502;0;10;20;30;40;15
13;42;5;10;20;85;45;25;5.10690433488736;10.0055850276418;19.6650693980458;73.9745370922656;39.9471583175179;24.4287162223696;5;10;19;83;45;24
14;168;0;212;1494;1894;2029;852;0;205.261858484758;1484.61801908161;1756.98573200394;1623.91293655105;713.715003440951;0;196;1624;1874;1849;866
15;326;5;0;10;0;15;20;5;0;10;0;15;20;5;0;10;0;15;20
16;132;0;40;30;169;275;260;0;40.0034314974957;29.9768383903336;143.915747696028;244.878629856448;224.792139137912;0;56;15;169;293;241
17;455;0;124;937;1264;1368;426;0;115;905;1175;1195;385;0;124;941;1271;1376;428
18;38;0;10;10;35;30;40;0;9.96930292646554;14.9539543896983;29.9079087793966;29.9079087793966;29.9079087793966;0;10;10;35;30;40
19;558;12;24;44;125;89;97;5.16203703703704;25.8101851851852;25.8101851851852;134.212962962963;61.9444444444445;92.9166666666667;5;25;25;137;76;96
20;65;0;0;0;30;15;20;0;0;0;28.6274509803922;14.3137254901961;19.0849673202614;0;10;5;44;24;5
21;435;5;90;110;120;100;80;4.90401080412326;109.538512933463;98.1783256669298;118.182714754653;73.3171802310224;79.2234368906253;5;88;103;115;94;78
22;532;0;13;9;60;30;34;0;14.4677419354839;9.64516129032258;48.2258064516129;43.4032258064516;28.9354838709677;0;15;10;49;54;34
23;487;4;16;44;34;42;36;14.0053050397878;0;14.0053050397878;9.3368700265252;46.684350132626;56.0212201591512;14;5;14;10;53;63
24;39;0;40;50;55;121;100;0;40.5218655335396;51.2552142190748;50.5668503939665;106.902514825112;96.3408011446286;10;35;40;140;140;95
25;383;11;5;22;76;60;60;10.4347826086957;5.21739130434783;10.4347826086957;73.0434782608696;52.1739130434783;52.1739130434783;10;5;20;70;55;55
26;527;10;15;50;80;220;140;10;10;50;80;195;115;10;15;51;82;224;142
27;261;0;15;5;25;40;15;0;14.9275362318841;9.95169082125604;24.8792270531401;39.8067632850241;14.9275362318841;0;15;5;25;40;15
28;340;8;8;64;108;113;116;0;30.4291287386216;30.4291287386216;60.8582574772432;131.85955786736;131.85955786736;0;35;30;60;156;136
29;368;10;40;70;120;125;75;9.99882734166485;39.3104919347588;64.8974353056247;109.010212138805;94.5853962919452;74.6898443613262;10;39;70;119;124;75
30;214;20;32;32;64;113;153;0;19.4983642311886;48.7459105779716;102.36641221374;102.36641221374;126.739367502726;0;20;49;104;119;138
31;560;12;0;16;28;40;36;5.27659574468085;5.27659574468085;21.1063829787234;36.936170212766;42.2127659574468;21.1063829787234;5;5;21;36;41;21
32;36;5;57;76;105;100;57;4.89057046559451;58.6868455871341;83.1396979151067;107.592550243079;92.9208388462957;58.6868455871341;5;60;80;110;105;60
33;543;5;11;20;126;65;37;5.00900644056483;11.0175074841932;20.0360257622593;120.216154573556;60.108077286778;37.0620342900808;5;11;20;125;65;37
34;561;0;0;10;5;41;10;0;0;10.7518796992481;5.37593984962406;37.6315789473684;10.7518796992481;11;5;5;11;21;11
35;415;0;174;1241;791;365;171;0;187.005867263655;1238.55649072559;746.435787400176;337.975603640086;167.321039130639;0;180;1285;820;380;180
36;241;0;10;45;60;35;25;0;9.64094083371739;43.9973783509722;58.4293292380998;29.7746027430379;24.4238256655674;0;9;43;57;34;24
37;242;0;20;138;158;112;46;0;20.189584667717;136.27969650709;156.469281174807;95.9005271716558;45.4265655023633;0;20;135;155;110;45
38;210;0;123;386;504;417;275;0;127.879307062631;363.177232057871;455.250333142965;337.601370645345;250.643441842756;0;131;354;470;369;268
39;495;15;0;25;66;41;15;15;0;25;65;40;15;15;0;24;64;39;16
40;137;15;170;165;375;510;280;15.0145142480677;161.068485829392;165.852315577419;336.449960466839;485.723285249216;235.066421979815;15;172;167;378;512;281
41;488;5;20;30;50;75;30;4.94726810316515;19.9921670749602;24.8172502418456;39.7003244385701;64.8005973286617;24.8991443802479;5;20;30;49;75;30
42;473;0;38;58;125;106;106;0;40;60;125;110;105;0;40;60;130;110;110
43;396;4;40;49;85;97;97;5.0863309352518;15.2589928057554;35.6043165467626;81.3812949640288;61.0359712230216;66.1223021582734;5;15;35;86;76;71
44;496;0;26;11;58;68;53;0;25.7347011734378;10.2938804693751;56.6163425815633;56.4751623763366;51.4694023468757;0;25;10;55;65;50
45;402;25;65;145;190;245;165;25.1542358596024;50.2644889969492;144.915149685145;180.241454249266;230.595793990577;144.683296039095;28;72;159;210;271;181
46;509;10;120;265;320;245;170;10.0998364023896;134.7989230106;274.88758652628;279.987241211584;220.042198895089;125.121523104564;10;120;265;321;246;170
47;319;4;52;68;120;144;84;5.09389671361502;20.3755868544601;91.6901408450704;157.910798122066;112.06572769953;45.8450704225352;5;20;91;156;121;61
48;432;20;5;25;35;76;41;20.5475419785201;5.17835865801981;25.5068912188467;25.2317720022124;72.0923121035076;36.5581481539735;21;5;26;36;78;42
49;327;0;42;75;232;316;284;0;41.3921498849497;74.020066326165;212.280428928875;271.979287631188;243.136446689584;0;26;63;228;335;277
50;474;0;5;50;50;55;34;0;5.29547759046088;48.8475823329759;44.5480309071397;53.9305718963295;28.1152144467462;0;14;62;71;38;28
51;141;14;327;1279;2714;2437;1656;11.5203029003679;372.125492618077;1272.51408328623;2555.36864964827;2414.16895341699;1573.7711938743;8;409;1346;2827;2683;1747
52;544;5;5;43;139;149;65;4.97784415529847;5.10817395167797;38.5782508728812;115.779319231075;122.032978802684;55.9285150832581;0;16;26;101;185;53
53;154;0;76;186;635;761;373;0;70.2640479402882;185.697840985047;607.282128626776;647.433013164084;321.20707629846;0;75;185;630;755;370
54;497;4;4;0;20;29;12;0;5.36912751677852;5.36912751677852;5.36912751677852;37.5838926174496;53.6912751677852;0;5;5;5;36;52
55;489;0;20;15;44;90;69;0;20.1921941497194;15.1774150676541;34.4251709151424;81.4070439468111;55.829765681503;0;15;20;76;50;50
56;418;0;832;4444;4473;4183;1250;4.07449253941684;859.632282584832;4301.00385036659;4036.95596326274;3624.9241530683;1134.75606751034;4;808;4389;4365;4228;1390
57;419;0;61;86;97;81;66;0;55;90;100;75;55;0;60;84;94;77;63
58;498;10;20;46;147;56;81;10.068681825323;25.1717045633075;45.3090682139535;125.858522816538;55.3777500392765;75.5151136899225;10;20;45;145;55;80
59;66;0;40;89;371;324;252;0;40;82.5;352.5;295;220;0;40;87;356;323;249
60;272;0;15;30;63;45;34;0;15.3890728757408;29.4322451563972;53.0356478879534;40.0540476135058;33.8095971752252;0;15;55;75;60;25
61;350;5;40;135;225;190;110;4.94508360705116;40.1145801195726;124.13623028711;214.560713656418;174.3787377251;79.6348333423583;5;40;133;224;189;109
62;537;0;25;108;175;95;93;0;24.8173357327051;107.841193735454;169.922699893643;90.0600871220602;87.8183226102385;0;43;148;224;115;67
63;215;10;10;10;55;40;40;15;10;10;50;35;35;10;10;10;56;41;40
64;188;15;164;1050;1778;1343;477;15.6130372972578;146.234572463117;1063.14221429466;1723.06940870451;1228.60921617724;384.920573289116;0;192;1125;1674;1486;577
65;355;0;8;8;20;28;12;0;9.95348837209302;9.95348837209302;19.906976744186;9.95348837209302;39.8139534883721;0;10;10;20;10;45
66;538;10;105;165;280;210;240;10.015081797255;94.4643516161109;184.005194140239;274.002028751401;198.917481766358;218.60841994564;10;105;164;279;209;239
67;43;10;50;85;245;145;210;10.0274349845385;49.9935097145863;89.9542381866873;214.800295437027;135.800479006987;164.978409867709;10;50;85;246;146;211
68;317;15;25;65;110;150;75;14.8994364085656;25.0588949214088;64.7649017809555;99.9325353525286;134.372231353881;59.7234018297981;15;25;64;109;148;74
69;144;16;33;36;61;102;81;25.7947976878613;10.3179190751445;10.3179190751445;113.497109826589;87.7023121387282;61.907514450867;25;10;10;122;91;71
70;106;5;16;62;83;83;67;5.08741258741259;15.2622377622378;61.0489510489511;81.3986013986014;76.3111888111888;66.1363636363637;5;15;60;80;80;65
71;95;5;60;166;216;121;96;5;45;165;190;110;80;5;60;165;216;120;95
72;439;0;35;35;80;135;135;0;34.9029457922928;35.0038919957667;79.8995001464218;129.486893461385;109.631947184507;0;35;35;80;134;134
73;533;4;12;53;139;176;114;4.93407707910751;49.3407707910751;29.6044624746451;167.758620689655;138.15415821501;54.2748478701826;5;40;35;189;169;60
74;198;0;16;102;205;217;110;5.24125330930045;41.2472012649268;94.3425595674081;125.790079423211;171.595708787961;77.9359744300299;5;45;92;133;184;97
75;295;0;135;239;767;1039;684;0;119.617054518437;229.355114391809;678.178816488271;943.801020323979;498.160609674986;0;93;280;723;1063;686
76;385;0;5;11;27;48;27;5.43147208121827;5.43147208121827;10.8629441624365;27.1573604060913;43.4517766497462;21.7258883248731;5;16;0;21;16;21
77;262;0;16;53;134;155;61;0;24.9656121045392;24.9656121045392;124.828060522696;99.8624484181568;59.9174690508941;0;25;25;125;100;60
78;475;5;10;85;125;105;70;4.99073804160283;9.96844695851632;74.63878334153;124.441483342139;99.448911107511;49.7245242589134;5;10;85;124;104;70
79;294;3;459;2841;3597;3931;1731;3.0250910578439;390.174712520416;2653.82164283053;3196.30787054944;3280.30634221342;1354.9466194363;6;424;2660;3517;3798;1696
80;447;0;41;119;168;185;78;0;31.8547045990991;77.3614254549549;195.67889968018;141.070834653153;81.9120975405404;0;33;81;215;172;105
81;421;0;65;435;505;580;305;0;60.4224959544006;459.488315395334;485.526540572777;495.049926088595;262.042928345852;0;68;456;531;607;317
82;476;0;20;95;239;244;154;5.16757840235973;19.9643633026986;95.6004721673327;224.937337456442;213.975928817303;134.566724260506;5;71;81;177;247;212
