id_lieu;codeINSEE;nom_commune;code_postal;nom_ville;num_dept;nom_dept;centroid
1;75101;PARIS 01;75001;PARIS;75;PARIS;48.862549708, 2.336419583
2;75102;PARIS 02;75002;PARIS;75;PARIS;48.868266543, 2.342785169
3;75103;PARIS 03;75003;PARIS;75;PARIS;48.86287791, 2.3599986
4;75104;PARIS 04;75004;PARIS;75;PARIS;48.854350603, 2.357625608
5;75105;PARIS 05;75005;PARIS;75;PARIS;48.844452823, 2.350706645
6;75106;PARIS 06;75006;PARIS;75;PARIS;48.84912057, 2.332883793
7;75107;PARIS 07;75007;PARIS;75;PARIS;48.856165775, 2.312153502
8;75108;PARIS 08;75008;PARIS;75;PARIS;48.872724651, 2.312557861
9;75109;PARIS 09;75009;PARIS;75;PARIS;48.87716521, 2.337456318
10;75110;PARIS 10;75010;PARIS;75;PARIS;48.876129334, 2.360715102
11;75111;PARIS 11;75011;PARIS;75;PARIS;48.859054908, 2.380025153
12;75112;PARIS 12;75012;PARIS;75;PARIS;48.834961802, 2.421385379
13;75113;PARIS 13;75013;PARIS;75;PARIS;48.828424546, 2.362253766
14;75114;PARIS 14;75014;PARIS;75;PARIS;48.829262233, 2.326537267
15;75115;PARIS 15;75015;PARIS;75;PARIS;48.840071778, 2.292837343
16;75116;PARIS 16;75016;PARIS;75;PARIS;48.860373457, 2.261967959
17;75117;PARIS 17;75017;PARIS;75;PARIS;48.887331019, 2.306778316
18;75118;PARIS 18;75018;PARIS;75;PARIS;48.892570244, 2.348176243
19;75119;PARIS 19;75019;PARIS;75;PARIS;48.88705158, 2.384821877
20;75120;PARIS 20;75020;PARIS;75;PARIS;48.863457789, 2.401155799
21;75116;PARIS 16;75116;PARIS;75;PARIS;48.860373457, 2.261967959
22;77255;LIVRY SUR SEINE;77000;LIVRY SUR SEINE;77;SEINE-ET-MARNE;48.505178762, 2.685681399
23;77288;MELUN;77000;MELUN;77;SEINE-ET-MARNE;48.544316452, 2.657923631
24;77389;LA ROCHETTE;77000;LA ROCHETTE;77;SEINE-ET-MARNE;48.506431874, 2.659248553
25;77487;VAUX LE PENIL;77000;VAUX LE PENIL;77;SEINE-ET-MARNE;48.524357339, 2.697674267
26;77121;COLLEGIEN;77090;COLLEGIEN;77;SEINE-ET-MARNE;48.827880888, 2.677106877
27;77276;MAREUIL LES MEAUX;77100;MAREUIL LES MEAUX;77;SEINE-ET-MARNE;48.923446118, 2.869532744
28;77284;MEAUX;77100;MEAUX;77;SEINE-ET-MARNE;48.956861307, 2.90006062
29;77330;NANTEUIL LES MEAUX;77100;NANTEUIL LES MEAUX;77;SEINE-ET-MARNE;48.928110279, 2.898553372
30;77455;SOIGNOLLES EN BRIE;77111;SOIGNOLLES EN BRIE;77;SEINE-ET-MARNE;48.645014167, 2.707824338
31;77457;SOLERS;77111;SOLERS;77;SEINE-ET-MARNE;48.659188075, 2.725984418
32;77208;GOUAIX;77114;GOUAIX;77;SEINE-ET-MARNE;48.476200115, 3.296410573
33;77227;HERME;77114;HERME;77;SEINE-ET-MARNE;48.486150295, 3.34604609
34;77341;NOYEN SUR SEINE;77114;NOYEN SUR SEINE;77;SEINE-ET-MARNE;48.452074338, 3.342550817
35;77522;VILLIERS SUR SEINE;77114;VILLIERS SUR SEINE;77;SEINE-ET-MARNE;48.456731493, 3.383290177
36;77034;BLANDY;77115;BLANDY;77;SEINE-ET-MARNE;48.560218583, 2.794532549
37;77453;SIVRY COURTRY;77115;SIVRY COURTRY;77;SEINE-ET-MARNE;48.531021543, 2.756131534
38;77019;BALLOY;77118;BALLOY;77;SEINE-ET-MARNE;48.397093788, 3.151318742
39;77025;BAZOCHES LES BRAY;77118;BAZOCHES LES BRAY;77;SEINE-ET-MARNE;48.397966957, 3.192886258
40;77212;GRAVON;77118;GRAVON;77;SEINE-ET-MARNE;48.388125751, 3.125136442
41;77002;AMILLIS;77120;AMILLIS;77;SEINE-ET-MARNE;48.735332725, 3.135102125
42;77013;AULNOY;77120;AULNOY;77;SEINE-ET-MARNE;48.848856082, 3.089501816
43;77070;CHAILLY EN BRIE;77120;CHAILLY EN BRIE;77;SEINE-ET-MARNE;48.792485886, 3.134038518
44;77131;COULOMMIERS;77120;COULOMMIERS;77;SEINE-ET-MARNE;48.81234041, 3.091269785
45;77206;GIREMOUTIERS;77120;GIREMOUTIERS;77;SEINE-ET-MARNE;48.852489445, 3.032477099
46;77278;MAROLLES EN BRIE;77120;MAROLLES EN BRIE;77;SEINE-ET-MARNE;48.774277265, 3.161217492
47;77281;MAUPERTHUIS;77120;MAUPERTHUIS;77;SEINE-ET-MARNE;48.769360819, 3.039112382
48;77320;MOUROUX;77120;MOUROUX;77;SEINE-ET-MARNE;48.827180332, 3.050708392
49;77433;BEAUTHEIL SAINTS;77120;BEAUTHEIL SAINTS;77;SEINE-ET-MARNE;48.763240732, 3.076987933
50;77433;BEAUTHEIL SAINTS;77120;BEAUTHEIL SAINTS;77;SEINE-ET-MARNE;48.763240732, 3.076987933
51;77309;MONTHYON;77122;MONTHYON;77;SEINE-ET-MARNE;49.009921788, 2.832127797
52;77339;NOISY SUR ECOLE;77123;NOISY SUR ECOLE;77;SEINE-ET-MARNE;48.377397525, 2.508644662
53;77471;TOUSSON;77123;TOUSSON;77;SEINE-ET-MARNE;48.343461361, 2.457402818
54;77485;LE VAUDOUE;77123;LE VAUDOUE;77;SEINE-ET-MARNE;48.347141662, 2.521715019
55;77143;CREGY LES MEAUX;77124;CREGY LES MEAUX;77;SEINE-ET-MARNE;48.977739964, 2.873223169
56;77335;CHAUCONIN NEUFMONTIERS;77124;CHAUCONIN NEUFMONTIERS;77;SEINE-ET-MARNE;48.972295956, 2.831255098
57;77335;CHAUCONIN NEUFMONTIERS;77124;CHAUCONIN NEUFMONTIERS;77;SEINE-ET-MARNE;48.972295956, 2.831255098
58;77335;CHAUCONIN NEUFMONTIERS;77124;CHAUCONIN NEUFMONTIERS;77;SEINE-ET-MARNE;48.972295956, 2.831255098
59;77358;PENCHARD;77124;PENCHARD;77;SEINE-ET-MARNE;48.991133744, 2.858319348
60;77513;VILLENOY;77124;VILLENOY;77;SEINE-ET-MARNE;48.941663812, 2.851027449
61;77101;CHATENAY SUR SEINE;77126;CHATENAY SUR SEINE;77;SEINE-ET-MARNE;48.420082052, 3.094788304
62;77133;COURCELLES EN BASSEE;77126;COURCELLES EN BASSEE;77;SEINE-ET-MARNE;48.412940438, 3.053085201
63;77167;EGLIGNY;77126;EGLIGNY;77;SEINE-ET-MARNE;48.439983633, 3.124089639
64;77251;LIEUSAINT;77127;LIEUSAINT;77;SEINE-ET-MARNE;48.625905745, 2.549989511
65;77021;BARBEY;77130;BARBEY;77;SEINE-ET-MARNE;48.366051746, 3.049435365
66;77061;CANNES ECLUSE;77130;CANNES ECLUSE;77;SEINE-ET-MARNE;48.364775484, 2.990559168
67;77161;DORMELLES;77130;DORMELLES;77;SEINE-ET-MARNE;48.313439207, 2.8895665
68;77194;FORGES;77130;FORGES;77;SEINE-ET-MARNE;48.421264015, 2.948518581
69;77210;LA GRANDE PAROISSE;77130;LA GRANDE PAROISSE;77;SEINE-ET-MARNE;48.391610154, 2.898136897
70;77279;MAROLLES SUR SEINE;77130;MAROLLES SUR SEINE;77;SEINE-ET-MARNE;48.384109552, 3.032327557
71;77293;MISY SUR YONNE;77130;MISY SUR YONNE;77;SEINE-ET-MARNE;48.365492628, 3.095115023
72;77305;MONTEREAU FAULT YONNE;77130;MONTEREAU FAULT YONNE;77;SEINE-ET-MARNE;48.389914088, 2.961774637
73;77409;ST GERMAIN LAVAL;77130;ST GERMAIN LAVAL;77;SEINE-ET-MARNE;48.40897297, 2.995123038
74;77467;LA TOMBE;77130;LA TOMBE;77;SEINE-ET-MARNE;48.386672953, 3.09317412
75;77482;VARENNES SUR SEINE;77130;VARENNES SUR SEINE;77;SEINE-ET-MARNE;48.368565322, 2.930845994
76;77516;VILLE ST JACQUES;77130;VILLE ST JACQUES;77;SEINE-ET-MARNE;48.344351413, 2.897954226
77;77360;PEZARCHES;77131;PEZARCHES;77;SEINE-ET-MARNE;48.743792429, 2.990318184
78;77469;TOUQUIN;77131;TOUQUIN;77;SEINE-ET-MARNE;48.732983624, 3.028843282
79;77179;FERICY;77133;FERICY;77;SEINE-ET-MARNE;48.46494806, 2.804263667
80;77266;MACHAULT;77133;MACHAULT;77;SEINE-ET-MARNE;48.445896814, 2.841311915
